form_1	freq_1	stem	xpostag	variation	lemma_freq_corrected	corpus_size	form_2	freq_2	odds	log_odds
hámlani	1032	hám	[/V][Inf]	cselekszenek/cselekednek	86453	8570080167	hámolni	1	516.5	6.247075288559693
hámlanak	224	hám	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	86453	8570080167	hámolnak	1	112.5	4.722953221644475
hámlottak	20	hám	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	86453	8570080167	hámoltak	1	10.5	2.3513752571634776
hangzana	4780	hang	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	37084641	8570080167	hangozna	1224	3.902857142857143	1.361708885647276
hangzani	3000	hang	[/V][Inf]	cselekszenek/cselekednek	37084641	8570080167	hangozni	564	5.311504424778761	1.669875114293926
hangzanak	24460	hang	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	37084641	8570080167	hangoznak	2753	8.881989832970225	2.1840256121912804
hangzottak	26927	hang	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	37084641	8570080167	hangoztak	3947	6.820668693009119	1.919957515877215
hanyatlani	3269	hanyat	[/V][Inf]	cselekszenek/cselekednek	432700	8570080167	hanyatolni	1	1635	7.399398083331354
haragszani	2	harag	[/V][Inf]	cselekszenek/cselekednek	12272826	8570080167	haragudni	12425	2.4142926122646064e-4	-8.3289340419555291
haragszotok	817	harag	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	12272826	8570080167	haragudtok	138	5.884892086330935	1.7723884034720552
haragszanak	3340	harag	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	12272826	8570080167	haragusznak	298	11.173913043478262	2.41358186896607
háramlana	159	háram	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	15084	8570080167	háramolna	4	32	3.4657359027997265
háramlani	39	háram	[/V][Inf]	cselekszenek/cselekednek	15084	8570080167	háramolni	4	8	2.0794415416798357
háramlanak	89	háram	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	15084	8570080167	háramolnak	1	45	3.8066624897703196
hasonlana	3	hason	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	831860	8570080167	hasonulna	40	0.0975609756097561	-2.327277705584417
hasonlani	16	hason	[/V][Inf]	cselekszenek/cselekednek	831860	8570080167	hasonulni	885	0.019187358916478554	-3.953503606548865
hasonlotok	1	hason	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	831860	8570080167	hasonultok	13	0.14285714285714285	-1.9459101490553135
