base	cat1_weight	base_tr	variation	type	variant1	variant2	resp1	resp2	log_odds	derivational	nsyl	vowel	suffix	lemma_freq_corrected	stem_vowel	long_cluster	consonants
kátéd	0.6594033179362455	kátéd	hotelban/hotelben	nonce word response	kátédnál	kátédnél	19	10	0.5978370007556204	NA	NA	é	nál	NA	á	FALSE	NA
kátel	0.33472734892240563	kátel	hotelban/hotelben	nonce word response	kátelnak	kátelnek	4	22	-1.5260563034950494	NA	NA	e	nak	NA	á	FALSE	NA
klajrén	0.7691742908870541	klajrén	hotelban/hotelben	nonce word response	klajrénnak	klajrénnek	17	12	0.32542240043462795	NA	NA	é	nak	NA	a	TRUE	NA
klazér	0.7181528817624273	klazér	hotelban/hotelben	nonce word response	klazérban	klazérben	16	13	0.1941560144409574	NA	NA	é	ban	NA	a	FALSE	NA
klingesz	0.44085581795435763	klingeß	hotelban/hotelben	nonce word response	klingeszban	klingeszben	3	26	-1.9095425048844383	NA	NA	e	ban	NA	i	TRUE	NA
kliszer	0.4640089820222632	klißer	hotelban/hotelben	nonce word response	kliszernál	kliszernél	3	24	-1.8325814637483104	NA	NA	e	nál	NA	i	FALSE	NA
klítegy	0.5218919070276723	klíte©	hotelban/hotelben	nonce word response	klítegynál	klítegynél	4	25	-1.6486586255873816	NA	NA	e	nál	NA	í	FALSE	NA
klordény	0.7680003303373383	klordé¥	hotelban/hotelben	nonce word response	klordénynak	klordénynek	14	13	0.06899287148695142	NA	NA	é	nak	NA	o	TRUE	NA
klosét	0.805967420595286	klosét	hotelban/hotelben	nonce word response	klosétnak	klosétnek	18	8	0.7472144018302211	NA	NA	é	nak	NA	o	FALSE	NA
kluhéj	0.7206838067920215	kluhéj	hotelban/hotelben	nonce word response	kluhéjnál	kluhéjnél	19	10	0.5978370007556204	NA	NA	é	nál	NA	u	FALSE	NA
licegy	0.5272269860292944	lice©	hotelban/hotelben	nonce word response	licegyban	licegyben	2	24	-2.120263536200091	NA	NA	e	ban	NA	i	FALSE	NA
lihény	0.7505750257258768	lihé¥	hotelban/hotelben	nonce word response	lihénynak	lihénynek	2	25	-2.159484249353372	NA	NA	é	nak	NA	i	FALSE	NA
lijez	0.5025407827988846	lijez	hotelban/hotelben	nonce word response	lijeznak	lijeznek	2	27	-2.2335922215070942	NA	NA	e	nak	NA	i	FALSE	NA
lingék	0.7208504472011589	lingék	hotelban/hotelben	nonce word response	lingéknál	lingéknél	3	26	-1.9095425048844383	NA	NA	é	nál	NA	i	TRUE	NA
lismév	0.70410018237444	lismév	hotelban/hotelben	nonce word response	lismévban	lismévben	3	23	-1.791759469228055	NA	NA	é	ban	NA	i	TRUE	NA
lorzens	0.44754887555710765	lorzens	hotelban/hotelben	nonce word response	lorzensnál	lorzensnél	5	22	-1.3437347467010947	NA	NA	e	nál	NA	o	TRUE	NA
luméz	0.7125020821470971	luméz	hotelban/hotelben	nonce word response	lumézban	lumézben	14	13	0.06899287148695142	NA	NA	é	ban	NA	u	FALSE	NA
mádép	0.6835424782110744	mádép	hotelban/hotelben	nonce word response	mádépnál	mádépnél	18	9	0.6418538861723947	NA	NA	é	nál	NA	á	FALSE	NA
matéz	0.7942191931586642	matéz	hotelban/hotelben	nonce word response	matézban	matézben	18	9	0.6418538861723947	NA	NA	é	ban	NA	a	FALSE	NA
monveg	0.4996742817311057	monveg	hotelban/hotelben	nonce word response	monvegnál	monvegnél	4	23	-1.5686159179138452	NA	NA	e	nál	NA	o	TRUE	NA
murdes	0.5282405507186071	murdes	hotelban/hotelben	nonce word response	murdesnál	murdesnél	9	17	-0.587786664902119	NA	NA	e	nál	NA	u	TRUE	NA
narem	0.6245481306210142	narem	hotelban/hotelben	nonce word response	naremban	naremben	9	18	-0.6418538861723948	NA	NA	e	ban	NA	a	FALSE	NA
navec	0.6678116752904426	navec	hotelban/hotelben	nonce word response	navecban	navecben	12	17	-0.325422400434628	NA	NA	e	ban	NA	a	FALSE	NA
nidét	0.7524436100703673	nidét	hotelban/hotelben	nonce word response	nidétban	nidétben	3	26	-1.9095425048844383	NA	NA	é	ban	NA	i	FALSE	NA
nuhét	0.6871583311822874	nuhét	hotelban/hotelben	nonce word response	nuhétnál	nuhétnél	12	15	-0.2076393647782445	NA	NA	é	nál	NA	u	FALSE	NA
nyábét	0.6599655370303149	¥ábét	hotelban/hotelben	nonce word response	nyábétban	nyábétben	16	13	0.1941560144409574	NA	NA	é	ban	NA	á	FALSE	NA
nyamet	0.614471384483683	¥amet	hotelban/hotelben	nonce word response	nyametban	nyametben	10	19	-0.5978370007556204	NA	NA	e	ban	NA	a	FALSE	NA
nyarcéj	0.7449927282961817	¥arcéj	hotelban/hotelben	nonce word response	nyarcéjnak	nyarcéjnek	13	13	0	NA	NA	é	nak	NA	a	TRUE	NA
nyítem	0.5453528862608651	¥ítem	hotelban/hotelben	nonce word response	nyítemban	nyítemben	1	25	-2.5649493574615367	NA	NA	e	ban	NA	í	FALSE	NA
nyupér	0.618847114580007	¥upér	hotelban/hotelben	nonce word response	nyupérnál	nyupérnél	13	13	0	NA	NA	é	nál	NA	u	FALSE	NA
